event,detector,flagged_share,peak_kept,recall_in_window,precision_adj_in_window,bas
elliott,autoencoder,0.06148454921949665,0.6511627906976745,0.752012383014018,0.5854915680155078,43
elliott,modified_zscore,0.1637464160560688,0.5813953488372093,0.7441860465116279,0.5157019101666073,43
elliott,relative_deviation,0.002867155144950621,0.9534883720930233,0.6687918812138891,0.5822259136212624,43
elliott,sentinel_v2,0.01497292131251991,0.8837209302325582,0.9546511627906976,0.9401162790697674,43
elliott,sentinel_v3,0.001911436763300414,0.9534883720930233,0.9546511627906976,0.9546511627906976,43
elliott,sentinel_v3_distance_neighbors,0.000955718381650207,0.9534883720930233,0.9546511627906976,0.9720930232558139,43
elliott,sentinel_v3_profile_neighbors,0.005734310289901242,0.9302325581395349,0.9081395348837209,0.9081395348837209,43
elliott,sentinel_v3_profile_weather,0.0006371455877668047,0.9534883720930233,0.8848837209302325,0.9023255813953488,43
elliott,sentinel_v3_regime_only,0.01497292131251991,0.8837209302325582,0.9546511627906976,0.9401162790697674,43
elliott,teda_level,0.016884358075820324,0.8837209302325582,0.46511627906976744,0.4293478260869565,43
gerri_heather,autoencoder,0.026760114686205795,0.7441860465116279,0.7618198433569959,0.6196330776755695,43
gerri_heather,modified_zscore,0.03376871615164065,0.7674418604651163,0.34108527131782945,0.21489479512735327,43
gerri_heather,relative_deviation,0.0,1.0,0.650312317172036,0.6143410852713178,43
gerri_heather,sentinel_v2,0.010194329404268876,0.9069767441860465,0.9017577068685776,0.8794573643410852,43
gerri_heather,sentinel_v3,0.0031857279388340233,1.0,0.9004867495943754,0.8815444245676803,43
gerri_heather,sentinel_v3_distance_neighbors,0.002548582351067219,1.0,0.9004867495943754,0.8891472868217054,43
gerri_heather,sentinel_v3_profile_neighbors,0.0044600191143676325,0.9767441860465116,0.8785018929150893,0.8830749354005167,43
gerri_heather,sentinel_v3_profile_weather,0.0022300095571838163,1.0,0.9004867495943754,0.8891472868217054,43
gerri_heather,sentinel_v3_regime_only,0.007645747053201656,0.9302325581395349,0.9237425635478637,0.8883273703041146,43
gerri_heather,teda_level,0.007327174259318254,0.8837209302325582,0.5673248375925499,0.6007751937984496,43
january_2025,autoencoder,0.027397260273972598,0.7209302325581395,0.6601490110997127,0.583197486737354,43
january_2025,modified_zscore,0.008601465434851864,0.8837209302325582,0.7441860465116279,0.7131698750141151,43
january_2025,relative_deviation,0.0015928639694170116,0.9767441860465116,0.6305680742225351,0.5552602436323366,43
january_2025,sentinel_v2,0.001911436763300414,1.0,0.9912144702842377,0.9916020671834624,43
january_2025,sentinel_v3,0.000955718381650207,1.0,1.0,1.0,43
january_2025,sentinel_v3_distance_neighbors,0.000955718381650207,1.0,0.9767441860465116,0.9767441860465116,43
january_2025,sentinel_v3_profile_neighbors,0.000955718381650207,1.0,0.9679586563307493,0.9709302325581395,43
january_2025,sentinel_v3_profile_weather,0.000955718381650207,1.0,0.9302325581395349,0.9302325581395349,43
january_2025,sentinel_v3_regime_only,0.000955718381650207,1.0,1.0,1.0,43
january_2025,teda_level,0.0,1.0,0.6711077682007914,0.7209302325581395,43
uri,autoencoder,0.019925280199252802,0.9090909090909091,0.7146783080067537,0.6562138078371844,44
uri,modified_zscore,0.0323785803237858,0.8636363636363636,0.7045454545454546,0.6123690889567558,44
uri,relative_deviation,0.004410543794105436,0.9772727272727273,0.6350775091699785,0.5812094155844156,44
uri,sentinel_v2,0.002212347635759839,0.9545454545454546,0.9947145877378436,0.9689393939393939,44
uri,sentinel_v3,0.002212347635759839,0.9545454545454546,0.9719873150105709,0.9507575757575758,44
uri,sentinel_v3_distance_neighbors,0.0019010151326465136,0.9772727272727273,0.9719873150105709,0.9545454545454546,44
uri,sentinel_v3_profile_neighbors,0.0019010151326465136,0.9772727272727273,0.9719873150105709,0.95,44
uri,sentinel_v3_profile_weather,0.0019010151326465136,0.9772727272727273,0.9719873150105709,0.9545454545454546,44
uri,sentinel_v3_regime_only,0.0025236801388731638,0.9545454545454546,0.9947145877378436,0.9689393939393939,44
uri,teda_level,0.0006226650062266501,0.9545454545454546,0.6780479210711768,0.6931818181818182,44
